UniqueCount	AmbigCount
0	154
0	8
3	725
0	0
0	4
0	1
0	0
0	6
0	6
0	0
0	0
0	0
0	0
0	0
7	51
0	5
0	3
0	6
0	5
0	21
268	15
46	234
1	5
0	5
110	14
0	1
5	46
0	3
0	1
4	18
0	0
7	3
0	15
19	898
1	395
1	423
0	410
0	381
0	275
29	41
0	1
0	145
0	2
0	1
0	3
0	1
0	21
0	5
0	9
1	12
5	14
0	6
0	7
0	0
0	67
0	42
0	47
3	47
0	14
0	15
6	22
0	21
0	16
1	8
0	14
2	7
0	1
1	5
0	8
1	4
0	0
0	0
0	13
26	241
0	5
0	0
0	7
1	10
0	10
12	33
1	4
0	7
0	16
0	10
0	0
0	3
0	7
0	6
0	7
0	2
0	1
34	6917
230	14156
6	13923
0	0
5	2869
0	2
3031	28805
18	6138
0	0
0	0
0	16
89	836
0	1
0	0
3	3
0	4
0	10
0	10
0	4
0	10
2	8
3	3
0	10
0	11
3	18
0	11
0	9
0	11
0	3
0	7
0	5
6	2
0	6
5	6
0	8
0	0
3	0
0	2
0	2
0	2
0	2
0	2
0	2
0	3
2	27
0	9
3	9
0	0
10	4
0	4
8	3
1	4
0	6
30	221
4	84
0	307
8	10
9	246
0	9
0	245
0	59
2	166
0	14
0	28
0	17
0	29
3	195
0	154
0	6
0	37
2	186
0	17
0	144
2	18
0	6
0	56
0	16
0	15
44	2
4	7
6	7
0	42
0	7
0	35
0	0
0	0
1	0
41	1
0	1
5	5
0	3
0	2
0	789
0	789
0	0
0	789
0	2
0	2
0	2
0	2
0	0
0	791
3	4
0	0
0	0
0	0
0	0
838	5981
5	2768
73	5974
2	1
42	635
241	21
100	260
18	259
21	11
10	54
10	5
5	67
0	47
3	55
0	1
0	17
0	23
2	22
1	23
20	0
92	837
167	818
73	574
45	420
0	4523
1	2778
1316	4519
0	0
2	0
4	5883
0	5418
0	5235
0	5700
0	33
9	122
8	36
6	0
50	38
61	3693
0	33
5	145
6	145
0	143
10	0
4	64
1	77
0	0
99	0
3	1408
14	1432
8	1641
0	1540
66	1161
1	1434
9	1374
0	107
0	793
2	501
2	277
8	306
2	123
11	58
6	68
1	54
0	16
0	15
6	10
20	10
34	1
0	0
0	0
0	0
521	0
10	20
0	25
0	25
0	20
0	1
11	11
0	1
0	0
0	0
0	10
4	18
0	8
0	12
0	0
0	0
0	0
41	4645
162	5063
2	3956
0	4645
8	2312
5	1847
1	950
0	305
2130	0
0	30
0	11
31	37
7	15
2	9
18	1
3	2307
2	2479
0	2324
3	1468
31	1350
2	1093
8	984
2	78
0	758
7	590
0	61
0	139
1	273
3	160
11	166
3	11
4	60
4	58
9	84
10	5
0	0
0	0
0	12
0	5
0	12
0	12
0	0
0	12
0	0
0	0
2	1105
11	1206
0	924
0	529
2	4
0	27
2	76
0	8
3	72
0	34
15	7
0	19
0	0
0	0
786	2307
67	534
32	206
19	1223
33	1166
0	3059
0	4484
0	4480
0	3709
2	2129
6	1436
0	3953
0	4649
0	3709
128	2915
22	2102
5	3405
0	4459
0	3712
0	3347
0	3041
0	3360
1	954
1	253
1	287
2	2004
0	418
0	526
0	393
1	247
0	288
0	578
0	10
0	101
0	814
3	332
3	389
2	627
0	536
4	527
0	5
2	1
0	248
2	612
2	439
4	225
2	293
1	219
0	102
0	89
0	124
2	101
0	8
0	6
0	1
0	0
22	1
12	535
1399	648
1	132
27	0
4	2126
60	2247
0	1700
0	188
0	153
0	146
0	34
2	22
0	0
0	0
0	0
0	1
0	1
11	1
0	0
0	0
0	0
0	0
0	0
102	14124
1302	14008
41	14005
206	14035
139	466
4	74
1	0
0	2482
36	2823
13	2243
32	1911
0	2994
1	2247
0	1993
1	2398
0	2169
1	668
3	941
0	146
1	94
0	116
10	139
0	724
1	18
2	129
0	4
0	27
0	1365
23	1380
30	1388
0	1381
0	28
0	27
0	1278
13	1280
0	520
2637	3885
7	2699
44	3188
45	94
30	1187
4	284
0	9
116	114
0	71
0	73
1	77
0	21
7	11
1	0
0	0
4	6
9	4
6	6
3	10
0	1039
71	4108
1429	5138
10	85
52	206
0	1
15	11
56	3850
0	3088
68	3691
23	185
21	2585
46	1708
8	7
0	5
2	5296
8	3784
0	5088
1	4250
1	5110
0	15
3	260
6	888
0	2
0	2
17	0
3475	8375
13	7440
1	996
470	248
1	6
14	127
0	0
0	0
0	0
152	0
1	661
0	673
0	635
0	674
0	639
1	656
0	654
18	108
0	7
1	521
2	9
0	406
4	107
0	10
0	26
0	679
7	257
0	14
0	634
0	572
0	3
1	3
4	608
0	16
0	2
0	3
1	35
4	249
1	181
11	294
0	89
6	73
0	0
0	5
1	3
0	5
0	3
0	2
0	2
0	3
0	1
2	3
22	1586
0	1576
4	1222
1	1315
0	1271
0	1005
0	1004
0	1005
0	445
3	32
14	231
2	2273
0	2249
2	271
49	198
7	15
0	3
0	3
112	1192
0	885
1	159
2	507
0	756
0	788
0	950
0	1017
0	1000
0	925
8	14
2	51
2	25
0	3
8	90
0	5
1	7
3	32
2	64
19	378
8	116
0	34
7	38
178	740
3	1
29	67
0	1
0	5
9	199
3	45
2	161
0	101
14	1638
1	1600
0	1463
1	652
0	6
0	219
8	106
0	37
0	161
2	46
1	29
0	92
5	139
2	103
0	102
3	55
0	1
32	6716
0	6094
41	6971
0	654
4	1543
4	498
1	834
1	319
0	23
8	82
5	0
0	0
0	0
0	0
0	0
16	201
3	172
2	7
4	58
1	43
0	1
0	3
0	2
0	1
0	1
0	0
14	13
0	0
0	0
17	24
0	0
0	2
1	2
0	0
0	1
0	0
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
11	42
0	0
0	0
0	0
0	0
0	0
1	0
141	1865
2	69
4	17
0	22
0	22
1	15
0	1758
0	11
1	1294
0	44
1	92
2	52
0	90
0	58
0	141
0	106
0	63
0	30
0	14
0	78
0	13
0	1668
0	94
0	877
8	1335
0	31
47	15
33	1
5	1
8	1141
18	1215
49	1922
1	2194
1	1134
211	978
3	966
2	1900
4	1802
66	1814
15	1732
32	590
10	1237
0	5
11	0
0	0
202	1
0	0
0	0
0	1
1	8
6	9
3	106
1	74
29	111
0	8
79	29
4	12
35	40
0	49
92	38
6	31
6	12
2	0
77	0
0	0
17	0
79	4673
0	633
22	6666
3	2080
2	19
26	4228
3	1330
35	3189
8	616
24	2253
0	2364
0	1508
0	1565
4	249
5	67
0	22
0	16
0	13
0	0
0	12
0	12
0	12
0	14
0	11
0	11
0	9
0	0
2	0
11	749
0	708
5	443
0	77
2	22
1	8
2	5
0	41
0	84
12	11
0	0
1	8
25	0
0	57
0	57
3	37
0	11
29	45
3	15
4	30
0	16
0	253
2	390
21	401
3	390
0	264
36	1174
0	833
3	150
0	146
32	276
59	527
0	852
0	44
2	203
0	0
3	78
0	0
6	0
0	473
0	554
1	4468
7	4397
0	4653
0	4511
3	758
0	4675
2	637
6	252
1	191
6	247
6	4329
0	99
3	4037
6	823
59	920
0	155
1	158
2	13
25	38
6	12
0	0
0	0
0	2
70	14
0	10
2	0
0	0
0	0
2	0
0	0
12	6
0	6
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
1	2
1	0
89	0
0	0
344	2906
0	2906
1	2870
0	219
5	49
0	144
46	2189
11	0
132	198
12	164
3	22
2	72
0	18
1	25
0	6
0	0
1	0
925	4179
1	4179
336	1333
182	1334
68	29
26	397
0	179
1	88
0	36
0	413
0	227
8	37
0	345
0	313
0	94
0	313
0	318
0	52
0	55
0	73
0	69
0	323
3	32
0	1
0	63
0	47
42	0
0	0
0	0
0	71
0	84
0	63
0	72
0	19
0	2
0	0
0	13
0	0
0	13
0	13
0	13
0	13
0	13
0	13
0	13
0	13
0	13
0	13
0	13
0	0
0	0
0	0
0	0
0	0
3	5
0	0
0	0
0	0
2	3
0	0
0	0
0	10
0	4
1	8
0	0
1500	87
0	85
0	6
2	0
1	0
1	862
2	1096
0	1145
0	1106
0	1013
1	1085
6	1061
10	996
2	982
0	1124
0	1011
0	1072
0	1072
1	919
2	955
0	963
0	28
8	753
0	273
7	737
0	60
0	55
1	481
0	259
1	168
5	108
0	12
1	301
0	320
3	282
0	301
2	301
0	326
1	296
0	289
2	20
7	20
3	1000
4	928
0	1075
0	979
0	931
0	966
0	968
0	975
1	975
14	391
0	15
0	0
2	1
16	6
1	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
18	45
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	39
0	39
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	85
0	86
0	248
3	265
0	259
2	162
1	1
0	4
1	4
0	110
4	4
0	12
0	13
1	149
0	139
0	148
0	3
0	7
0	15
6	4
0	0
0	18
0	7
0	18
0	131
0	5
0	12
0	13
0	141
1	7
2	45
0	132
1	5
0	121
1	6
1	15
0	34
0	107
0	2
2	4
26	117
4	0
0	1
0	132
0	141
0	32
0	40
1	13
5	0
0	123
0	0
0	29
0	46
0	0
0	0
0	3
0	111
0	67
0	109
0	1
0	0
0	1
0	1
0	1
0	0
0	774
7302	3435
53	3367
7	3229
3	2297
19	1891
0	813
20	797
12	2
49	18
14	159
0	13
2	8
24	142
0	0
0	0
0	8
5	8
821	2191
0	7
35	2172
6	466
9	7
0	3
0	3
0	0
184	0
0	4428
0	4492
0	4181
0	4180
13	4181
0	3677
0	3676
0	4492
0	1996
0	2
5	0
14	20
0	0
0	0
9	26
0	0
0	0
0	39
4	14
0	0
0	0
0	0
0	0
0	0
0	23
0	33
0	20
0	0
0	39
0	3
8	21
0	23
6	27
0	5
0	0
0	0
2	252
0	279
0	281
23	290
1	256
1	270
0	266
0	215
0	131
0	84
3	130
0	90
0	77
0	104
1	113
2	4
1	30
0	21
0	13
0	13
0	1
1	115
0	136
0	139
5	139
0	139
0	129
0	144
0	139
0	139
0	138
0	139
0	139
0	139
0	139
0	137
0	80
0	108
2	40
1	8
0	16
0	2
0	11
0	0
0	1
0	1
0	1
0	6
0	1
0	0
970	148
1	57
4	27
4	1
0	10
0	0
9	0
0	5
0	4
0	4
0	0
28	687
1	131
5	126
3	105
27	497
29	193
0	281
0	134
0	1390
18	1382
0	46
0	22
0	27
0	17
276	4
0	3
273	357
3	0
9	320
6	2217
0	166
0	149
34	108
0	4
7	2487
0	942
260	3057
8	1117
0	77
4	213
0	130
0	15
2	122
9	80
3	51
2	7
0	0
0	0
0	4
0	0
0	0
8	32
2	0
71	762
131	455
72	884
258	1196
17	263
9	631
8	556
2	581
0	493
0	587
16	310
4	257
15	21
0	166
0	99
0	31
0	0
0	0
0	0
1	0
0	0
0	0
0	0
6	0
5	0
11	0
2738	254
19	254
0	26
6	0
4	73
0	122
1	121
0	122
3	120
1	7
2	2
5	2
0	0
9	0
0	7
0	0
0	0
0	37
0	37
0	0
0	0
0	0
0	0
2	6759
268	934
266	15304
13	9415
339	15025
48	2011
4	13629
0	8449
51	1768
16	8000
0	0
6	2
18	22
0	0
0	11
1188	292
11	244
1	115
6	70
15	0
0	0
0	0
3	4
0	4
0	2
0	0
0	0
0	0
0	1
0	1
0	1
0	0
0	0
7	1262
3	1289
2	1090
0	15
0	212
1	254
0	12
20	379
0	7
0	36
0	1
0	1
0	2
0	19
12	210
8	183
0	0
0	4
0	4
41	51
0	3
3	3
0	3
0	0
0	0
1	1
1	1
0	0
2	0
0	0
0	0
2	149805
87	125618
1	129216
3	135159
205	92329
3	19656
0	21897
0	14565
3	8464
0	6537
12	3131
1	2020
13	2014
25	4366
42	4613
13	9
0	0
24	0
0	0
19	11
0	0
0	0
0	0
0	1
0	1
3	1
0	1
0	1
0	0
1	0
8	15
0	0
0	0
0	0
0	0
